1,"B급 이하전편보다 퇴보된 CG, 중구난방식 연출, 러닝타임 늘리기 위한 쓸모없는 컷, 부족한 액션, 영화가 주는 시사점도 없고 보는 내내 오그라들고 나가고싶었음.",1
2,이딴 영화가 평점 8점 후반대라는 게 믿기지 않는다. 역시 네이버 평점은 믿고 걸러야 한다.개연성 중요하게 생각하는 사람들은 보면서 토할 수도 있으니까 조심.중후반부터 느금마사급 전개가 계속 이어지기 때문에 정신잡기...,3
3,역시 원더우먼 영화는 주연배우 갤가돗과 크리스파인이 다 살리네.. 감독은 확실히 영화 못 찍음.... 예전 샤를리즈 테론 영화 몬스터만해도 배우가 다 살림... 원더우먼 1도 악당 허술하고 매력없고 스토리도 전개가 ...,6
4,진짜 개노잼이다.. 1편이랑 같은 감독맞나?러닝타임도 길어서 개지루함 ㄹㅇ,2
5,"히어로물의 액션을 기대했음. 그러나 졸렬한 액션과 이상한 전개로 마지막 영화관을 나설 때 신파극을 본 건지, 액션 영화를 본 건지, 로맨스를 본 건지, 코미디를 본 건지 알 수가 없음. 그놈의 채찍은 싸움때마다 꼭 ...",1
6,전작에 비해 별루내요 너무 기대를 한건지,2
7,원더우먼이 날아가는 순간 CG는 너무 조악해서 실소가 나올 정도였다.삼류 스토리. 개연성없는 전개. 디씨가 왜 디씨로 머무르는지 한계를 보여주는 작품,2
8,음 빌런 두 명 다 약하다 왤케 허무함..버오프도 그렇고...DC는 빌런을 강화시킬 필요가 있음...,6
9,"배경이 1984년이어서일까요?아님 DC작품들이 대부분, 마블사랑 비교해보면,여러가지로 부족한 면이 많이 느껴져서일까요...ㅠㅠ마치 1984년대 영화를 보는듯좀 꽤 지루하여서 안타까웠어요.원더우먼 주인공 여배우의 미모...",4
10,겔가돗보려고 만든영화..보시면 아시겠지만 연기는 메인빌런이 다합니다...진짜 똥닦다가 만느낌.. 마지막 뒷심부족인듯...처음에 와 신선하고 잘만들다 하다가 중간부터 전개도 이상하고..,6
11,최고의 명의네요. 요즘 수면 장애로  고생했는데  완전숙면으로몸이 날아갈거 같습니다.고맙습니다.  다운받아서 매일 자기전에 봐야겠습니다.,1
12,와 올해 이걸 못피했네 이럴수가,2
13,원더우먼 재개봉한다고 해서 보러왔어요이게 84년도에 만든 영화라니 믿기지 않네요; 48년도 오타난거겠죠?,2
14,초반에 출발 드림팀은 왜한건지?,1
15,보다 잠듬 ㅅㅂ내돈ㅜㅜ,2
16,영화보다 잤습니다..,2
17,스토리 엉망... 넘 지루했음,2
18,"허약한 빌런. 허접한 액션. 허무한 결말. 다 보고나면 ""허허허 씨X 내돈!"" 소리밖에 안남.",4
19,이게 영화임? 재미도 없고 그랬음,1
20,"크리스마스 첫 상영으로 봤는데 지루하기 짝이 없는 제품입니다. 하루의 시작을 망쳤네요. ㅠ,ㅠ",2
21,"별점 한개도 아까울 정도의 스토리 전개, 개연성이었지만 배우가 그나마 살렸습니다즉,dc가 dc했다!",2
22,It's the worst movie I've ever seen,1
23,잭 스나이더 감독이면 다른거 몰라도 다 때려뿌수는 호쾌한 맛이라도 있을줄 알았는데 이건 진짜초반 진행 느려터지고 답답하고 노잼인거 꾹꾹 참고 보면 병맛같은 대사로 억지감동 선사하는 후반부가 기다리고 있음2020년에 ...,2
24,정말 기대안하고 봤는데 안하길 잘했습니다진짜 너무 후회,1
25,돈이 아깝네요 크리스마스라 애들델구 보러갔다 던 드럽게 아깝구만유 저걸 영화라구,2
26,좀 유치했던 것 같아요.,5
27,초반에 원더우먼 고향씬이 쓸데없이 길때부터 쎄~하더니..ㅋㅋㅋㅋ,3
28,영화 초반의  기대감은  보는내내 점 ...점...점... 사라지고 ...영상미  또한  내가 너무 기대감을 갖고  봤나보다. ㅠㅠ  기대 이하였다.,6
29,원더우먼 이랑 이웃사촌이랑 고민중인데 원더우먼이 더 재밌으면 공감 눌러주세요!,5
30,기대이하...졸렷다요,1
31,이열 돈 버리는 방법도 가지가지,4
32,"하.. 1점주고싶은데 2점준이유는 배우들이 아까워서 주는거에요..  1편 기대하시고보시면 안됩니다 1편의 반의반도 안되는 배경,액션,개연성  배경이야 1984년 배경이라 그렇다치고 무엇보다 유치하고 뜬금없는 스토리....",2
33,액션이 약하고 쫌 루즈 했어요...1탄보다 못한느낌,4
34,갤가돗 존예.영화는 개구림ㅋㅋㅋㅋ,1
35,전편보다 ... 그닥 ...후 너무 지루함,2
36,DC가 망하는 이유가 있다,1
37,옛날 원더우먼 느낌을 기대하고 추억을 되새기는 용도라면 볼만할 것이나현대의 마블같은 히어로 영화를 기대하면 재미없을 것.,6
38,지루하고 별로 재미없어요,4
39,무슨 바른마음 교육 동영상이냐? 액션은 예고편이 전부다임.,4
40,"ㅋㅋㅋ황금 독수리, 캣츠 너무하다 진짜",4
41,영화가 질질 늘어져서 1편에 비해 재미가 없어짐.30분 정도 컷 하면 휠씬 집중도 있고 재밌게 볼수 있었을거 같아요.,4
42,진짜 알바 OOO많네 ㅋㅋ 영화 시작하고 한시간동안 전투씬은 백화점하나말곤 말만 주구장창쳐하고 그뒤에 전투씬은  B급영화수준 전투씬이고 후반부 로프 전투씬은 얘네가 뭘 표현할려는지 1도모르겟다 ㅋㅋ DC는 기대를하면...,1
43,이거 나만 재미없었나 ?  진짜 별로 던데,1
44,와 이게 얼마만에 히어로무비냐 가슴이 쥰나 웅장해진다,10
45,초반에는 좋게 전개되다가 점차 재미없고 황당한 내용으로... 중간에 나오고 싶었는데 일행들 때문에 억지로 참았슴.,2
46,원더우먼 이쁜거밖에 기억안나융ㅎㅎㅎㅎ처음에 애기역할에선 너무 재미있었는ㄷㅔ 그게 끝쿠키있아용,4
47,1편이 괜찮게 봐서 너무 기대를 했었나 봅니다.. 그저 그래요 ㅜㅜ,6
48,너무 지루함 에혀 내 27000원,4
49,....할말조차 없는 영화,1
50,1.. 신파가 2번이나 나오지만 우린 안슬픔2. 아마존 전사들은 애기를 어떻게 낳을까?3. 1984년도인데 1940년대 사람이 제트기 작동법을 너무 잘암.4. 투명화된 비행기는 레이더에 안잡히는데 불꽃축제의 불꽃은 ...,1
51,노잼 신파극 2010년에 OCN에서 나왔어도 안봤을 영화그나마 페드로 파스칼의 연기 볼만함,1
52,코로나로 전세계 사람들이 지친건 알겠는데 행복회로 영혼까지 끌어모아서 돌린영화,1
53,조금 아쉬워요 1편보다 반감된느낌이고 중반까지는 팀욕에대한 인간의 모습을 다룬게 주라 전투신도 분량이 ..,6
54,허경영과 캣츠가 떠오른다,6
55,너무 지루 유치 딱 초등용도 안돼요 ㅠㅠ,6
56,보다 졸았어요....기대안했지만...더 기대를 하지마세요.... 보다 졸았어요....기대안했지만...더 기대를 하지마세요....,2
57,1편에 비해 흐지부지한.,7
58,모두 원하는게 많지만 다 가질수는 없는거죠. 그 주제를 잘 보여주는 영화네요,10
59,최고의 연출 미쳤다리 미쳤어,1
60,초반 10분이 영상미 때문에 '그나마' 재밌었고 나머지 2시간 20분은 개재미없고 졸림. 이딴 쓰레기같은걸 만드니 디씨가 디씨했다 하지..,1
61,아무리 정으로 좋게 보려했지만 지루한건 어쩔수 없네요,6
62,갤가돗 얼굴 본걸로 만족함,7
